TRICODE,IATA CODE,CALLSIGN,COMMON NAME,COMPANY/CORPORATE NAME,COUNTRY
ADN,-,AERODIENST,AERODIENST,"AERODIENST GMBH & CO. KG, NUERNBERG",GERMANY
DMC,-,DINAMICAMONT,AERODINAMICA DE MONTERREY,"AERODINAMICA DE MONTERREY, S.A. DE C.V.",MEXICO
ADP,-,AERODIPLOMATIC,AERODIPLOMATIC,"AERODIPLOMATIC, S.A. DE C.V.",MEXICO
DIS,-,AERODIS,AERODIS AVIACION,AERODIS AVIACION S.L.,SPAIN
ZTZ,-,TOWER,AERODROME CONTROL TOWER,AERODROME CONTROL TOWER,ICAO
ZYZ,-,-,AERODROME SECURITY SERVICES,AERODROME SECURITY SERVICES,ICAO
DYN,-,AERODYNAMICS,AERODYNAMICS,"AERODYNAMICS, INC. (WATERFORD, MI)",UNITED STATES OF AMERICA
DNC,-,FLYING OLIVE,AERODYNAMICS MALAGA,"AERODYNAMICS MALAGA, S.L.",SPAIN
ERO,-,AEROECOM,AEROECOM,"AEROECOM, C.A.",VENEZUELA
AJS,-,AEROEJECUTIVOS,AEROEJECUTIVOS,"AEROEJECUTIVOS, AEROSERVICIOS EJECUTIVOS",COLOMBIA
VIV,-,AEROENLACES,AEROENLACES NACIONALES,"AEROENLACES NACIONALES, S.A. DE C.V.",MEXICO
ROE,-,ESTE-BOLIVIA,AEROESTE,AEROESTE SRL,BOLIVIA
CFF,-,AEROFAN,AEROFAN,AEROFAN,SPAIN
FAQ,-,+,AEROFAQ,AEROFAQ,ECUADOR
FEO,-,FERINCO,AEROFERINCO,"AEROFERINCO, S.A. DE C.V.",MEXICO
TVD,-,AEROFLIGHT,AEROFLIGHT ACADEMY OF AVIATION,"AEROFLIGHT ACADEMY OF AVIATION, INC. (SEATTLE, WA)",UNITED STATES OF AMERICA
AFL,SU,AEROFLOT,AEROFLOT,AEROFLOT - RUSSIAN AIRLINES,RUSSIAN FEDERATION
FNO,-,RIAZOR,AEROFLOTA DEL NOROESTE,AEROFLOTA DEL NOROESTE S.L.,SPAIN
RFY,-,AEROFIL,AEROFLY,AEROFLY S.A. DE C.V.,MEXICO
AWF,-,-,AEROFORWARD,"AEROFORWARD, LLC (LAS VEGAS, NV)",UNITED STATES OF AMERICA
FCO,-,AEROFRISCO,AEROFRISCO,AEROFRISCO,MEXICO
GAU,-,AEROGAUCHO,AEROGAUCHO,AEROGAUCHO S.A.,URUGUAY
RWY,-,TYNWALD,AEROGROUP,AEROGROUP,UNITED KINGDOM
