Manufacturer,Model,ICAO Type Designator,ICAO WTC,MCTOM (Kg),UK Departure WTC,UK Arrival WTC,Common Name
AERO-EAST-EUROPE,SILA-450,S450,L,473,L,L,
AEROJAMES,Isatis,ISAT,L,0,L,L,
AEROKOPTER,AK-1,ZA6,L,700,L,L,
AEROKOPTER,Sanka,ZA6,L,700,L,L,
AEROKOPTER,ZA-6 Sanka,ZA6,L,700,L,L,
AERO-KROS,MP-02 Czajka,MP02,L,473,L,L,
AEROLAB,LoCamp,LOCA,L,0,L,L,
AEROMOT,AMT-600 Guri,GURI,L,0,L,L,
AERONCA,CF Scout,AERK,L,319,L,L,
AERONCA,15 Sedan,AR15,L,930,L,L,
AERONCA,50 Chief,AR50,L,522,L,L,
AERONCA,Tandem (50),AR5T,L,522,L,L,
AERONCA,65 Super Chief,AR65,L,544,L,L,
AERONCA,L-3 Grasshopper,AR6T,L,612,L,L,
AERONIX,Airelle,AIRL,L,0,L,L,
AEROPRACT,A-19,A19,L,0,L,L,
AEROPRACT,A-21 Solo,A21,L,0,L,L,
AEROPRACT,A-23 Dragon,A23,L,0,L,L,
AEROPRACT,A-33,A33,L,0,L,L,
AEROPRACT,A-37,AA37,L,0,L,L,
AEROPRAKT,SA-20 Vista,AP20,L,0,L,L,
AEROPRAKT,Vision,AP22,L,650,L,L,
AEROPRAKT,Twin Vista,AP26,L,0,L,L,
AEROPRAKT,Victor,AP28,L,0,L,L,
AEROPRAKT,A-32 Vixxen,AP32,L,600,L,L,
AEROPRAKT,A-36 Vulcan,AP36,L,0,L,L,
AEROPROGRESS,T-101 Grach,T101,L,0,L,L,
AEROS,UL-2000 Flamingo,UL2F,L,0,L,L,
AEROSAMARA,F-41 El'brus,F41E,L,0,L,L,
AEROSAMARA,Katran,KATR,L,0,L,L,
AEROSETTE,Eclipse,MH46,L,0,L,L,
AEROSPATIALE,Alouette 2,ALO2,L,1650,L,L,
AEROSPATIALE,SA-318 Alouette 2,ALO2,L,1650,L,L,
AEROSPATIALE,Alouette 3,ALO3,L,2300,L,L,
AEROSPATIALE,SA-316 Alouette 3,ALO3,L,2250,L,L,
AEROSPATIALE,SA-319 Alouette 3,ALO3,L,2250,L,L,
AEROSPATIALE,AS-332B Super Puma,AS32,M,9300,S,S,
AEROSPATIALE,AS-332B1 Super Puma,AS32,M,9300,S,S,
AEROSPATIALE,AS-332C Super Puma,AS32,M,8600,S,S,
AEROSPATIALE,AS-332F1 Super Puma,AS32,M,9300,S,S,
AEROSPATIALE,AS-332L Super Puma,AS32,M,8600,S,S,
AEROSPATIALE,AS-332L Tiger,AS32,M,8600,S,S,
AEROSPATIALE,AS-332L1 Super Puma,AS32,M,8600,S,S,
AEROSPATIALE,AS-332M Super Puma,AS32,M,9300,S,S,
AEROSPATIALE,AS-332M1 Super Puma,AS32,M,9300,S,S,
AEROSPATIALE,AS-532SC Cougar,AS32,M,8600,S,S,
AEROSPATIALE,AS-532UC Cougar,AS32,M,8600,S,S,
AEROSPATIALE,AS-532UL Cougar,AS32,M,8600,S,S,
AEROSPATIALE,Cougar,AS32,M,9300,S,S,
AEROSPATIALE,Hkp10 Super Puma,AS32,M,9300,S,S,
AEROSPATIALE,Super Puma,AS32,M,9300,S,S,
